tensor([[0.0131]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1551, grad_fn=<DivBackward0>)
tensor([[0.6922]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1550, grad_fn=<DivBackward0>)
tensor([[0.6915]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1549, grad_fn=<DivBackward0>)
tensor([[0.6922]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1547, grad_fn=<DivBackward0>)
tensor([[0.6937]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1544, grad_fn=<DivBackward0>)
tensor([[0.6954]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1543, grad_fn=<DivBackward0>)
tensor([[0.6983]], grad_fn=<AddmmBackward0>) tensor([[0.6000]])
Average loss: tensor(0.1541, grad_fn=<DivBackward0>)
tensor([[0.7004]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1539, grad_fn=<DivBackward0>)
tensor([[0.7036]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(0.1541, grad_fn=<DivBackward0>)
tensor([[0.7043]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1540, grad_fn=<DivBackward0>)
tensor([[0.7064]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1538, grad_fn=<DivBackward0>)
tensor([[0.7095]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1537, grad_fn=<DivBackward0>)
tensor([[0.7134]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.1535, grad_fn=<DivBackward0>)
tensor([[0.7162]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.7199]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1532, grad_fn=<DivBackward0>)
tensor([[0.7239]], grad_fn=<AddmmBackward0>) tensor([[0.6250]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.7270]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(0.1530, grad_fn=<DivBackward0>)
tensor([[0.7282]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.7303]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.7327]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.7361]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1522, grad_fn=<DivBackward0>)
tensor([[0.7391]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.7432]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.7480]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1516, grad_fn=<DivBackward0>)
tensor([[0.7527]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.7580]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.7638]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1511, grad_fn=<DivBackward0>)
tensor([[0.7701]], grad_fn=<AddmmBackward0>) tensor([[0.6667]])
Average loss: tensor(0.1509, grad_fn=<DivBackward0>)
tensor([[0.7753]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.1506, grad_fn=<DivBackward0>)
tensor([[0.7797]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1504, grad_fn=<DivBackward0>)
tensor([[0.7839]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.1501, grad_fn=<DivBackward0>)
tensor([[0.7882]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.1500, grad_fn=<DivBackward0>)
tensor([[0.7908]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1498, grad_fn=<DivBackward0>)
tensor([[0.7938]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1507, grad_fn=<DivBackward0>)
tensor([[0.7934]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.7895]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.7869]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1511, grad_fn=<DivBackward0>)
tensor([[0.7854]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.1509, grad_fn=<DivBackward0>)
tensor([[0.7845]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1507, grad_fn=<DivBackward0>)
tensor([[0.7846]], grad_fn=<AddmmBackward0>) tensor([[0.3333]])
Average loss: tensor(0.1508, grad_fn=<DivBackward0>)
tensor([[0.7828]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1506, grad_fn=<DivBackward0>)
tensor([[0.7820]], grad_fn=<AddmmBackward0>) tensor([[0.6667]])
Average loss: tensor(0.1504, grad_fn=<DivBackward0>)
tensor([[0.7808]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1502, grad_fn=<DivBackward0>)
tensor([[0.7808]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1500, grad_fn=<DivBackward0>)
tensor([[0.7806]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.1497, grad_fn=<DivBackward0>)
tensor([[0.7808]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1495, grad_fn=<DivBackward0>)
tensor([[0.7810]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1492, grad_fn=<DivBackward0>)
tensor([[0.7809]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1500, grad_fn=<DivBackward0>)
tensor([[0.7776]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(0.1504, grad_fn=<DivBackward0>)
tensor([[0.7717]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1503, grad_fn=<DivBackward0>)
tensor([[0.7675]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1510, grad_fn=<DivBackward0>)
tensor([[0.7604]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.1509, grad_fn=<DivBackward0>)
tensor([[0.7525]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1508, grad_fn=<DivBackward0>)
tensor([[0.7465]], grad_fn=<AddmmBackward0>) tensor([[0.5556]])
Average loss: tensor(0.1506, grad_fn=<DivBackward0>)
tensor([[0.7403]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1512, grad_fn=<DivBackward0>)
tensor([[0.7315]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.1511, grad_fn=<DivBackward0>)
tensor([[0.7224]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.7113]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1516, grad_fn=<DivBackward0>)
tensor([[0.7026]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1522, grad_fn=<DivBackward0>)
tensor([[0.6915]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6822]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6714]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6631]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.6540]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6448]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.6358]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6254]], grad_fn=<AddmmBackward0>) tensor([[0.6250]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6158]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6087]], grad_fn=<AddmmBackward0>) tensor([[0.2500]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6010]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.5957]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1516, grad_fn=<DivBackward0>)
tensor([[0.5917]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.5891]], grad_fn=<AddmmBackward0>) tensor([[0.2500]])
Average loss: tensor(0.1514, grad_fn=<DivBackward0>)
tensor([[0.5854]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1514, grad_fn=<DivBackward0>)
tensor([[0.5836]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.5842]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.5821]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.5819]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.5835]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.5870]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.5919]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.5980]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.6051]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6124]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6205]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.6294]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.6357]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.6430]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.6499]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.6555]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.6621]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1512, grad_fn=<DivBackward0>)
tensor([[0.6695]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.6731]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.6775]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1514, grad_fn=<DivBackward0>)
tensor([[0.6827]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6846]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6833]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6835]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6850]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.6865]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6891]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6930]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1517, grad_fn=<DivBackward0>)
tensor([[0.6971]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1516, grad_fn=<DivBackward0>)
tensor([[0.7022]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.7039]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.7065]], grad_fn=<AddmmBackward0>) tensor([[0.1111]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.7065]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.7071]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1527, grad_fn=<DivBackward0>)
tensor([[0.7047]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1532, grad_fn=<DivBackward0>)
tensor([[0.6994]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1531, grad_fn=<DivBackward0>)
tensor([[0.6960]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(0.1530, grad_fn=<DivBackward0>)
tensor([[0.6916]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6889]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6878]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.6882]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1527, grad_fn=<DivBackward0>)
tensor([[0.6899]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6918]], grad_fn=<AddmmBackward0>) tensor([[0.2500]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6917]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6925]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6902]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.6895]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6896]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6904]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6925]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6944]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.6973]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.7004]], grad_fn=<AddmmBackward0>) tensor([[0.1000]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.7006]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.7016]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(0.1522, grad_fn=<DivBackward0>)
tensor([[0.7001]], grad_fn=<AddmmBackward0>) tensor([[0.2000]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6966]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1522, grad_fn=<DivBackward0>)
tensor([[0.6948]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6944]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.6949]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.6966]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6953]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6954]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6960]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6938]], grad_fn=<AddmmBackward0>) tensor([[0.1000]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6892]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.6863]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1527, grad_fn=<DivBackward0>)
tensor([[0.6851]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6854]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6870]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6898]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6936]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6984]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1522, grad_fn=<DivBackward0>)
tensor([[0.7040]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.7098]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.7163]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1519, grad_fn=<DivBackward0>)
tensor([[0.7234]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1518, grad_fn=<DivBackward0>)
tensor([[0.7309]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1515, grad_fn=<DivBackward0>)
tensor([[0.7380]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.7445]], grad_fn=<AddmmBackward0>) tensor([[0.3333]])
Average loss: tensor(0.1513, grad_fn=<DivBackward0>)
tensor([[0.7485]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1512, grad_fn=<DivBackward0>)
tensor([[0.7532]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.1510, grad_fn=<DivBackward0>)
tensor([[0.7572]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1509, grad_fn=<DivBackward0>)
tensor([[0.7617]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1507, grad_fn=<DivBackward0>)
tensor([[0.7665]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(0.1508, grad_fn=<DivBackward0>)
tensor([[0.7687]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1514, grad_fn=<DivBackward0>)
tensor([[0.7674]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1520, grad_fn=<DivBackward0>)
tensor([[0.7630]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.7562]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1530, grad_fn=<DivBackward0>)
tensor([[0.7471]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.7392]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(0.1531, grad_fn=<DivBackward0>)
tensor([[0.7296]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1536, grad_fn=<DivBackward0>)
tensor([[0.7180]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.7076]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1539, grad_fn=<DivBackward0>)
tensor([[0.6954]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1537, grad_fn=<DivBackward0>)
tensor([[0.6847]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1535, grad_fn=<DivBackward0>)
tensor([[0.6760]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1535, grad_fn=<DivBackward0>)
tensor([[0.6694]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.6650]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1538, grad_fn=<DivBackward0>)
tensor([[0.6581]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1536, grad_fn=<DivBackward0>)
tensor([[0.6524]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.1535, grad_fn=<DivBackward0>)
tensor([[0.6482]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.6460]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.6455]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1534, grad_fn=<DivBackward0>)
tensor([[0.6465]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1533, grad_fn=<DivBackward0>)
tensor([[0.6489]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1531, grad_fn=<DivBackward0>)
tensor([[0.6521]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6550]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6591]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1533, grad_fn=<DivBackward0>)
tensor([[0.6600]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1531, grad_fn=<DivBackward0>)
tensor([[0.6616]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1531, grad_fn=<DivBackward0>)
tensor([[0.6645]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1529, grad_fn=<DivBackward0>)
tensor([[0.6676]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1528, grad_fn=<DivBackward0>)
tensor([[0.6719]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1527, grad_fn=<DivBackward0>)
tensor([[0.6767]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6796]], grad_fn=<AddmmBackward0>) tensor([[0.2000]])
Average loss: tensor(0.1527, grad_fn=<DivBackward0>)
tensor([[0.6802]], grad_fn=<AddmmBackward0>) tensor([[0.6667]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6806]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6824]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6854]], grad_fn=<AddmmBackward0>) tensor([[0.6000]])
Average loss: tensor(0.1521, grad_fn=<DivBackward0>)
tensor([[0.6877]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6868]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6867]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
tensor([[0.6882]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1523, grad_fn=<DivBackward0>)
tensor([[0.6909]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6908]], grad_fn=<AddmmBackward0>) tensor([[0.2000]])
Average loss: tensor(0.1526, grad_fn=<DivBackward0>)
tensor([[0.6883]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6876]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1525, grad_fn=<DivBackward0>)
tensor([[0.6883]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1524, grad_fn=<DivBackward0>)
