scene,listener,system,HASPI
S08682,L0219,E007,"[0.31887026947200614, 0.9754931882687918]"
S08683,L0206,E007,"[0.942256897073457, 0.10728921327441984]"
S08686,L0224,E007,"[0.3495651435616223, 0.5230920079149336]"
S08689,L0224,E007,"[0.6077168431759993, 0.7304200125912595]"
S08690,L0209,E007,"[0.9449408848689869, 0.9203928331856228]"
S08702,L0236,E007,"[0.597442294413055, 0.13352677358891799]"
S08703,L0239,E007,"[0.7077916871823793, 0.38645094084126524]"
S08707,L0243,E007,"[0.9783637514413219, 0.9844308508117382]"
S08710,L0216,E007,"[0.875661476571745, 0.7734228674594149]"
S08713,L0227,E007,"[0.005042411903850198, 0.9902910634502236]"
S08722,L0227,E007,"[0.004930738199780473, 0.06675735641452524]"
S08725,L0222,E007,"[0.9617314002559033, 0.980357026094938]"
S08727,L0206,E007,"[0.686089516634387, 0.007009906155366347]"
S08727,L0212,E007,"[0.16318547344345172, 0.03829379697088719]"
S08735,L0227,E007,"[0.004464160270120123, 0.7651500867628455]"
S08739,L0225,E007,"[0.9862211600226197, 0.9930630878017758]"
S08739,L0231,E007,"[0.8267521727108812, 0.9916458640372275]"
S08742,L0239,E007,"[0.7126070251284131, 0.38749519774396407]"
S08743,L0200,E007,"[0.8821850512550845, 0.46298525343099267]"
S08743,L0240,E007,"[0.9925837368944338, 0.9855481963550606]"
S08745,L0229,E007,"[0.9338814868808172, 0.9504148200919693]"
S08745,L0242,E007,"[0.4766662561538302, 0.5334740065535288]"
S08750,L0200,E007,"[0.8776366268827281, 0.07244400636844586]"
S08750,L0240,E007,"[0.9586740242009553, 0.9842596372082372]"
S08751,L0239,E007,"[0.9961722747118444, 0.8163959487843755]"
S08752,L0224,E007,"[0.7096591971060506, 0.22523619614594131]"
S08759,L0218,E007,"[0.5530653961876099, 0.5915855320163431]"
S08759,L0221,E007,"[0.46887903879005094, 0.47273439035952425]"
S08766,L0236,E007,"[0.2247174682499277, 0.5687302176683964]"
S08767,L0217,E007,"[0.7791444261429947, 0.005899993248538863]"
S08771,L0201,E007,"[0.8777902634071302, 0.9952345353766027]"
S08778,L0242,E007,"[0.5220133031467832, 0.5635368257723387]"
S08780,L0217,E007,"[0.7148568254324446, 0.015904038030008637]"
S08781,L0236,E007,"[0.06326557613723008, 0.20918609978810498]"
S08782,L0216,E007,"[0.701188390649311, 0.8438080281673356]"
S08785,L0206,E007,"[0.9924491510813697, 0.028823366444758736]"
S08785,L0212,E007,"[0.9802444503702911, 0.9051709563548905]"
S08790,L0201,E007,"[0.9902512938344603, 0.9997165674473057]"
S08791,L0215,E007,"[0.990892271303654, 0.9721759169585802]"
S08793,L0219,E007,"[0.109657997496778, 0.6360172184115732]"
S08794,L0218,E007,"[0.9937899310036583, 0.9986022031356713]"
S08794,L0221,E007,"[0.9699673415392045, 0.7799660070412447]"
S08795,L0201,E007,"[0.5573518486721571, 0.6462369363979918]"
S08798,L0239,E007,"[0.9626422335425849, 0.9322264720942603]"
S08800,L0216,E007,"[0.7374216968241799, 0.7308051344395697]"
S08807,L0212,E007,"[0.3713795733545188, 0.3701487694013671]"
S08807,L0221,E007,"[0.585217231302408, 0.7786919725253625]"
S08809,L0206,E007,"[0.6400480350373307, 0.12466140844717381]"
S08809,L0212,E007,"[0.6909437027353564, 0.5432165813640041]"
S08815,L0201,E007,"[0.6838650194446918, 0.8054904441112534]"
S08816,L0236,E007,"[0.5823606316446339, 0.7829642699148734]"
S08817,L0216,E007,"[0.986566164003805, 0.9846981866698065]"
S08818,L0209,E007,"[0.8030784248682707, 0.8085148374643993]"
S08820,L0242,E007,"[0.26061007188676033, 0.4345199928879349]"
S08836,L0222,E007,"[0.9890201440679484, 0.9974966396595422]"
S08837,L0216,E007,"[0.5485750733592083, 0.6315686199074707]"
S08843,L0243,E007,"[0.9974532265609459, 0.9970668516789921]"
S08853,L0200,E007,"[0.8173829344123936, 0.14078188721390436]"
S08854,L0212,E007,"[0.08462946962736453, 0.06795458329516077]"
S08854,L0221,E007,"[0.2848457656735721, 0.6156659928222065]"
S08862,L0222,E007,"[0.9505054676643082, 0.9765006257013171]"
S08869,L0217,E007,"[0.9861236885620482, 0.004013618415070265]"
S08887,L0229,E007,"[0.9846214717051848, 0.9906838454352964]"
S08887,L0242,E007,"[0.7649247499305284, 0.8978028661459447]"
S08889,L0215,E007,"[0.8816828676084488, 0.9972999772556855]"
S08890,L0218,E007,"[0.9599077118188748, 0.9972017909712518]"
S08890,L0221,E007,"[0.9323677839783584, 0.957028266858855]"
S08895,L0225,E007,"[0.9989782551855445, 0.9998140717232205]"
S08895,L0231,E007,"[0.9976416796013394, 0.9995035946408788]"
S08897,L0227,E007,"[0.003902047928839221, 0.006171498354822293]"
S08899,L0227,E007,"[0.00444926499738793, 0.004752698485332758]"
S08901,L0206,E007,"[0.991576940309081, 0.03143229100294143]"
S08903,L0200,E007,"[0.9212906764692161, 0.0956842024993432]"
S08903,L0240,E007,"[0.9277546193486801, 0.9706699595976156]"
S08911,L0216,E007,"[0.8647692822083513, 0.9619360765121345]"
S08916,L0231,E007,"[0.5698302010169172, 0.6578284364950255]"
S08922,L0231,E007,"[0.937423859147095, 0.9962852748860256]"
S08923,L0231,E007,"[0.5989407510366558, 0.6982283532529961]"
S08928,L0219,E007,"[0.3263167481012758, 0.6141924943997278]"
S08928,L0225,E007,"[0.9166443363290124, 0.9308220949238252]"
S08929,L0216,E007,"[0.7766258783037092, 0.9009016117252948]"
S08931,L0222,E007,"[0.6795562904719219, 0.7302859514849357]"
S08935,L0218,E007,"[0.9955903404367092, 0.9965598179209997]"
S08935,L0221,E007,"[0.9871866978520036, 0.939804853712133]"
S08939,L0240,E007,"[0.9996321814469293, 0.9999563483789078]"
S08943,L0236,E007,"[0.5180767250994429, 0.6821503509504466]"
S08952,L0236,E007,"[0.30148949282915444, 0.29965853002651904]"
S08956,L0222,E007,"[0.7701386128229243, 0.8395406993805761]"
S08959,L0229,E007,"[0.9858885073220879, 0.9102729766083981]"
S08959,L0242,E007,"[0.16143152429528856, 0.2843840976110033]"
S08969,L0243,E007,"[0.6671890531960537, 0.8074368020043867]"
S08971,L0212,E007,"[0.8926064568352092, 0.864003854488779]"
S08971,L0221,E007,"[0.8900193689626591, 0.8625171025265713]"
S08976,L0217,E007,"[0.8243707792714511, 0.003961766408895803]"
S08977,L0216,E007,"[0.9477014107923045, 0.8791754447490177]"
S08979,L0217,E007,"[0.807915583173144, 0.006111340069623956]"
S08980,L0222,E007,"[0.7156916605073169, 0.7260100159108908]"
S08983,L0209,E007,"[0.6106503251562593, 0.7793992314732004]"
S08987,L0217,E007,"[0.9508208046834734, 0.008114275955607549]"
S08993,L0215,E007,"[0.9298751566790472, 0.9340551600995892]"
S08997,L0201,E007,"[0.8155906652047765, 0.9620144097789587]"
S08998,L0206,E007,"[0.6871141060449278, 0.3021900171954614]"
S09000,L0227,E007,"[0.007297772073993129, 0.01507626147214997]"
S09011,L0224,E007,"[0.026540055374941644, 0.08298797345515307]"
S09018,L0243,E007,"[0.979164793063146, 0.9909856672546906]"
S09030,L0216,E007,"[0.8756461136091866, 0.9835614085842398]"
S09034,L0218,E007,"[0.9947894626447088, 0.9825853345570605]"
S09034,L0221,E007,"[0.9920312873453038, 0.9475963393881998]"
S09047,L0206,E007,"[0.8593861280587783, 0.024532674844983355]"
S09049,L0240,E007,"[0.9879890556587024, 0.9970080581974362]"
S09061,L0216,E007,"[0.6984060055942326, 0.7683646649380131]"
S09065,L0240,E007,"[0.9165782503317713, 0.9734621957921555]"
S09069,L0222,E007,"[0.9914180772547263, 0.9919494830270871]"
S09071,L0236,E007,"[0.42487271241237273, 0.5430837503281423]"
S09073,L0215,E007,"[0.9108437636074285, 0.9667836618102116]"
S09078,L0212,E007,"[0.7557235254116765, 0.6900693435398035]"
S09078,L0221,E007,"[0.788389087291755, 0.773078733694509]"
S09080,L0218,E007,"[0.7563693487631835, 0.8423011057321644]"
S09082,L0227,E007,"[0.003775014805578199, 0.006979138604588223]"
S09086,L0200,E007,"[0.7691406181571624, 0.32449969451347777]"
S09086,L0240,E007,"[0.9955626889944212, 0.998938656033524]"
S09088,L0217,E007,"[0.22635156377112847, 0.004437534513879567]"
S09092,L0215,E007,"[0.9918455624516004, 0.9964695407931098]"
S09094,L0224,E007,"[0.45250853893189236, 0.17257201283486728]"
S09101,L0222,E007,"[0.8052595844594526, 0.8136662106568066]"
S09111,L0209,E007,"[0.688039906191045, 0.7327802700891455]"
S09125,L0219,E007,"[0.10534053874073632, 0.9437701784412897]"
S09125,L0225,E007,"[0.9968804872840081, 0.9961289576391965]"
S09128,L0201,E007,"[0.6410424167506468, 0.8724589273080386]"
S09136,L0206,E007,"[0.6461184596516005, 0.01515490397812459]"
S09136,L0212,E007,"[0.568646423950931, 0.6052405179876418]"
S09140,L0217,E007,"[0.9376434295334061, 0.004597325175690494]"
S09142,L0216,E007,"[0.3056369999965552, 0.37328385538079534]"
S09144,L0206,E007,"[0.9615860174138204, 0.00627609711276104]"
S09144,L0212,E007,"[0.4935534707551564, 0.4107034598870724]"
S09152,L0212,E007,"[0.49310204815765063, 0.3231831695348186]"
S09152,L0221,E007,"[0.8086606995906569, 0.9412376327250968]"
S09154,L0206,E007,"[0.6513646284455032, 0.21172452956016027]"
S09154,L0212,E007,"[0.7238113805415143, 0.37705888302004037]"
S09155,L0217,E007,"[0.5549620348758146, 0.005959942223199293]"
S09156,L0225,E007,"[0.999290729230524, 0.9624715350270409]"
S09156,L0231,E007,"[0.964821362663347, 0.9986426091063435]"
S09158,L0229,E007,"[0.8118325147401085, 0.9585510838577705]"
S09161,L0218,E007,"[0.9944061739765145, 0.9988453738942537]"
S09161,L0221,E007,"[0.9959561672942872, 0.9923854692639038]"
S09164,L0224,E007,"[0.5520559057622962, 0.48499118124402557]"
S09175,L0215,E007,"[0.841049026368528, 0.8094646960266897]"
S09178,L0201,E007,"[0.9911642662791345, 0.9986695489411559]"
S09188,L0243,E007,"[0.9547460787457678, 0.9210673269309391]"
S09193,L0218,E007,"[0.7947034704506546, 0.9265871936010877]"
S09193,L0221,E007,"[0.650586550411369, 0.6110408762697477]"
S09196,L0236,E007,"[0.008005771280803882, 0.19504387009450763]"
S09203,L0217,E007,"[0.8415507611134683, 0.01917972212376535]"
S09205,L0227,E007,"[0.006768573181342705, 0.6260511066526467]"
S09214,L0215,E007,"[0.8376395602820601, 0.9830909997955861]"
S09227,L0243,E007,"[0.9920818899150942, 0.9892893895203739]"
S09228,L0200,E007,"[0.30878039872705265, 0.21206914033756635]"
S09231,L0209,E007,"[0.9180608253606847, 0.9289075155849562]"
S09234,L0201,E007,"[0.9189844372888906, 0.8619493503384424]"
S09245,L0217,E007,"[0.6456048488371733, 0.005615604481802239]"
S09246,L0206,E007,"[0.9642467301328996, 0.2874493841876386]"
S09248,L0236,E007,"[0.027355800718271185, 0.10552292474261915]"
S09250,L0242,E007,"[0.6953851278617289, 0.6674477190752551]"
S09255,L0219,E007,"[0.4318797423732425, 0.9951867060902709]"
S09259,L0224,E007,"[0.6268066952374086, 0.36726167604216864]"
S09262,L0227,E007,"[0.0043717598840271165, 0.8024995347912934]"
S09264,L0227,E007,"[0.004796444864789194, 0.010521076767268852]"
S09265,L0216,E007,"[0.662974541556186, 0.7098077833159617]"
S09270,L0229,E007,"[0.7527246048921614, 0.8200820436230942]"
S09270,L0242,E007,"[0.4058476991842896, 0.2785631662105898]"
S09271,L0217,E007,"[0.7641583892282889, 0.006388603742305639]"
S09274,L0227,E007,"[0.00406837063823596, 0.06259892500425181]"
S09276,L0215,E007,"[0.8917189835333934, 0.8728302897577664]"
S09277,L0216,E007,"[0.8634739197923541, 0.8981762227303401]"
S09280,L0216,E007,"[0.6447147186434072, 0.6744126786339172]"
S09281,L0209,E007,"[0.5109806605258944, 0.5679950001450942]"
S09282,L0224,E007,"[0.40487053460375944, 0.3171756339580772]"
S09288,L0218,E007,"[0.9222830278128994, 0.9173114339085334]"
S09297,L0209,E007,"[0.9263466787193307, 0.7948678601560865]"
S09298,L0217,E007,"[0.7590382253432054, 0.011368634803388811]"
S09306,L0227,E007,"[0.004673135271017328, 0.97812917887321]"
S09308,L0216,E007,"[0.6356229714586726, 0.6863315458895313]"
S09317,L0215,E007,"[0.7986830499816951, 0.920340876359131]"
S09321,L0218,E007,"[0.7962852600695536, 0.9368508987501083]"
S09321,L0221,E007,"[0.576588523390367, 0.4678090430701678]"
S09325,L0243,E007,"[0.9943608705987689, 0.9968543971941826]"
S09328,L0218,E007,"[0.7997759933642798, 0.9424217503639986]"
S09328,L0221,E007,"[0.8928015458115091, 0.916794055139659]"
S09338,L0209,E007,"[0.6718400606683831, 0.577576776702655]"
S09339,L0206,E007,"[0.9970249560883055, 0.050604322548415]"
S09342,L0216,E007,"[0.7333422603699123, 0.7113812611547209]"
S09343,L0219,E007,"[0.22275400797556597, 0.9953573124332307]"
S09343,L0225,E007,"[0.9995977562679639, 0.9994782603557182]"
S09345,L0236,E007,"[0.16766195963837668, 0.42824726336000624]"
S09346,L0200,E007,"[0.9077004160265725, 0.6809906199677802]"
S09350,L0239,E007,"[0.8613987073048823, 0.5797277323160481]"
S09351,L0239,E007,"[0.8577503624148709, 0.6354928526934785]"
S09352,L0239,E007,"[0.7263918059684643, 0.6671235909579291]"
S09362,L0219,E007,"[0.2965098187510902, 0.892684712608448]"
S09362,L0225,E007,"[0.9919118771762775, 0.9976251701323042]"
S09363,L0209,E007,"[0.7594586124986803, 0.8528406435937316]"
S09365,L0216,E007,"[0.8032695052187848, 0.8577264328662579]"
S09366,L0243,E007,"[0.9790204778132684, 0.9744044402736206]"
S09377,L0218,E007,"[0.9996431896629396, 0.9999652033287912]"
S09377,L0221,E007,"[0.9959581892236562, 0.997090347837845]"
S09378,L0201,E007,"[0.9523299277540169, 0.9396400287728153]"
S09382,L0229,E007,"[0.9216945483083844, 0.9936303858817376]"
S09382,L0242,E007,"[0.3428943269805327, 0.6519708235506187]"
S09396,L0218,E007,"[0.8792568410131218, 0.9560169247543802]"
S09397,L0217,E007,"[0.7298370840092128, 0.006420765683634728]"
S09402,L0236,E007,"[0.16915648906897945, 0.726651726443705]"
S09406,L0200,E007,"[0.8850607988998479, 0.13823627046684703]"
S09406,L0240,E007,"[0.840069263636043, 0.9330333502823027]"
S09429,L0201,E007,"[0.8248630423693551, 0.8957150412112447]"
S09436,L0243,E007,"[0.8432922338572222, 0.9142964631398237]"
S09438,L0229,E007,"[0.7140202868312284, 0.7573264632584686]"
S09438,L0242,E007,"[0.47637976125843545, 0.5598111318830363]"
S09446,L0240,E007,"[0.9997134491684935, 0.9999498252499716]"
S09448,L0219,E007,"[0.08528943416396753, 0.9385668740625207]"
S09448,L0225,E007,"[0.9992888049353085, 0.9949596918031967]"
S09451,L0218,E007,"[0.9992447422273212, 0.9995833078905951]"
S09452,L0236,E007,"[0.09766218705917133, 0.18631936398061177]"
S09455,L0200,E007,"[0.9788194464289974, 0.5287055986236426]"
S09455,L0240,E007,"[0.9984526832345206, 0.9993058420328862]"
S09459,L0200,E007,"[0.8663749657275581, 0.6022841716225005]"
S09460,L0243,E007,"[0.9909937898418555, 0.9960415068158924]"
S09463,L0227,E007,"[0.005363276163036249, 0.028498940344312555]"
S09474,L0239,E007,"[0.7105910630544026, 0.3697210646977354]"
S09476,L0227,E007,"[0.00949242498291998, 0.010183793869259886]"
S09483,L0239,E007,"[0.8114666397926911, 0.4364409003892249]"
S09485,L0215,E007,"[0.7933991141794026, 0.9333170806900593]"
S09488,L0229,E007,"[0.9589187431921683, 0.9568451424589778]"
S09488,L0242,E007,"[0.2720575560918911, 0.5179020401547875]"
S09500,L0229,E007,"[0.9988400292815256, 0.9996079929052535]"
S09502,L0222,E007,"[0.9533411824259354, 0.9834429075006104]"
S09510,L0240,E007,"[0.9995379700629163, 0.9997781687616442]"
S09515,L0218,E007,"[0.980568285393901, 0.9910516652643279]"
S09515,L0221,E007,"[0.24548147613662094, 0.6224805003715751]"
S09520,L0201,E007,"[0.9916007676298705, 0.9989326394894311]"
S09525,L0206,E007,"[0.7060938961362929, 0.2429956474688576]"
S09529,L0229,E007,"[0.8034470156304347, 0.9268167599178375]"
S09532,L0240,E007,"[0.8481212483821465, 0.9665671046907369]"
S09533,L0236,E007,"[0.7651528193709062, 0.3806524330456908]"
S09540,L0200,E007,"[0.6950766710638826, 0.5442649176650789]"
S09543,L0209,E007,"[0.9164804341686064, 0.9778652635066205]"
S09546,L0219,E007,"[0.104614746519564, 0.7500184574905148]"
S09553,L0201,E007,"[0.7136079557668608, 0.9863225489249002]"
S09554,L0224,E007,"[0.645753004229359, 0.5148274144462307]"
S09564,L0206,E007,"[0.011369397869575677, 0.007506724419964594]"
S09564,L0212,E007,"[0.005272936286689755, 0.004730070421494931]"
S09569,L0209,E007,"[0.9725149390780313, 0.9781784020331011]"
S09571,L0217,E007,"[0.967434333211431, 0.0043756446503814455]"
S09573,L0239,E007,"[0.9729707582192147, 0.8954419317547296]"
S09577,L0224,E007,"[0.5040736149673716, 0.5321592205357473]"
S09579,L0239,E007,"[0.9240611133425919, 0.5915067533097673]"
S09581,L0240,E007,"[0.993217143375874, 0.9982697252351441]"
S09586,L0224,E007,"[0.5830845198638738, 0.6246368099973919]"
S09587,L0239,E007,"[0.9862300422076703, 0.861910814589176]"
S09589,L0229,E007,"[0.8445099228278783, 0.8982282129958099]"
S09593,L0243,E007,"[0.7954034126141287, 0.8214251731030768]"
S09596,L0206,E007,"[0.7557274282528591, 0.02035688346069682]"
S09596,L0212,E007,"[0.7246945076348202, 0.7899170772839351]"
S09606,L0206,E007,"[0.797452586306899, 0.44544638691561655]"
S09606,L0212,E007,"[0.6701623146286786, 0.7950847325862506]"
S09615,L0209,E007,"[0.881332517338668, 0.9033556621162497]"
S09616,L0219,E007,"[0.3527574417701107, 0.7095093471452149]"
S09620,L0222,E007,"[0.6733779051308161, 0.7058437132261638]"
S09621,L0219,E007,"[0.3233388327458796, 0.7410058734259435]"
S09621,L0225,E007,"[0.979722386464016, 0.9684474045765279]"
S09625,L0222,E007,"[0.8053612837657985, 0.8265774558426946]"
S09626,L0216,E007,"[0.8723225729431555, 0.9728778792258611]"
S09627,L0200,E007,"[0.9136085044985891, 0.33085386011656237]"
S09628,L0217,E007,"[0.9515212533178276, 0.004290467412781376]"
S09634,L0201,E007,"[0.881315533044903, 0.9691870046235617]"
S09637,L0222,E007,"[0.8382984214020721, 0.8953697009837948]"
S09641,L0209,E007,"[0.7307174919034647, 0.8412877927454433]"
S09646,L0236,E007,"[0.004525088301800243, 0.034262587512344095]"
S09649,L0236,E007,"[0.1510727345551791, 0.4905035155686401]"
S09662,L0201,E007,"[0.839185324299563, 0.9826133896406071]"
S09666,L0218,E007,"[0.677603680432544, 0.7943925601961026]"
S09673,L0215,E007,"[0.7525025075215931, 0.7857126280075062]"
S09676,L0239,E007,"[0.9924273307523755, 0.0773892240583176]"
S09677,L0225,E007,"[0.9540892352242553, 0.9750913862835272]"
S09677,L0231,E007,"[0.8911139339253614, 0.9909970889192155]"
S09678,L0224,E007,"[0.41571769827728355, 0.13346655822925566]"
S09681,L0209,E007,"[0.8873403111490034, 0.8775988107648499]"
S09684,L0209,E007,"[0.9708426406829206, 0.9818128672455902]"
S09689,L0224,E007,"[0.8216079546596856, 0.31625725401042964]"
S09704,L0219,E007,"[0.3643266662944435, 0.9406503365999368]"
S09714,L0242,E007,"[0.7038481476559041, 0.8121533717889738]"
S09716,L0209,E007,"[0.7914330569996763, 0.5945894255951344]"
S09717,L0227,E007,"[0.004725032371290133, 0.09885989722724108]"
S09719,L0231,E007,"[0.8190886843142025, 0.9830120513888271]"
S09733,L0206,E007,"[0.7214458164949864, 0.18396026682412522]"
S09752,L0216,E007,"[0.863500035074465, 0.950915403101376]"
S09753,L0216,E007,"[0.8440502389386779, 0.9522161350199333]"
S09754,L0231,E007,"[0.7263265243602842, 0.9890973880855806]"
S09759,L0239,E007,"[0.6798321018734352, 0.5362888017231466]"
S09765,L0209,E007,"[0.7742955956418756, 0.7655316847517377]"
S09770,L0216,E007,"[0.7870799974321065, 0.9294779299928267]"
S09776,L0222,E007,"[0.8501069897780528, 0.9806758986202566]"
S09780,L0227,E007,"[0.00490805171646286, 0.01408726761931091]"
S09790,L0243,E007,"[0.8802776044376454, 0.8449685935200737]"
S09793,L0236,E007,"[0.06203372989190292, 0.568083991151541]"
S09803,L0240,E007,"[0.9914350865553978, 0.9979489689144994]"
S09811,L0218,E007,"[0.9486935500827954, 0.9626046361452149]"
S09812,L0212,E007,"[0.5939636483023871, 0.5818568624018069]"
S09812,L0221,E007,"[0.962737800480487, 0.7663435554979058]"
S09818,L0231,E007,"[0.7163454611780737, 0.8564540889687596]"
S09819,L0229,E007,"[0.8878314969004831, 0.9160751589097769]"
S09819,L0242,E007,"[0.3207820171235875, 0.4053623531837206]"
S09824,L0242,E007,"[0.3605594282659231, 0.4522240280432413]"
S09827,L0239,E007,"[0.7598123575337056, 0.23839611874334043]"
S09828,L0243,E007,"[0.9791095577634252, 0.9894473885308702]"
S09830,L0240,E007,"[0.9897343505767434, 0.9973642543039632]"
S09831,L0243,E007,"[0.9972774586309275, 0.996440557084391]"
S09841,L0217,E007,"[0.3361583600442732, 0.004958144113124041]"
S09844,L0236,E007,"[0.06500840553857555, 0.07969661208437745]"
S09846,L0229,E007,"[0.9845076830165461, 0.9923723501606322]"
S09856,L0209,E007,"[0.6913072782429179, 0.7974049880751772]"
S09860,L0243,E007,"[0.8050477496531822, 0.7713977536682395]"
S09861,L0225,E007,"[0.9913494267681898, 0.9979783267126062]"
S09861,L0231,E007,"[0.9061024450220225, 0.9987279390140966]"
S09865,L0243,E007,"[0.970424175612642, 0.865551957921969]"
S09866,L0215,E007,"[0.7666228413004054, 0.8365593621155342]"
S09870,L0218,E007,"[0.9723891162154218, 0.9710238846854862]"
S09877,L0225,E007,"[0.9998669269422683, 0.9992113599610462]"
S09877,L0231,E007,"[0.9891786479934863, 0.9999199978613786]"
S09884,L0243,E007,"[0.9586577820238473, 0.9727041524647224]"
S09892,L0243,E007,"[0.9836462920363582, 0.9930435810030839]"
S09893,L0201,E007,"[0.9242198185921857, 0.9990360913069097]"
S09899,L0209,E007,"[0.9217544731462437, 0.8593289289532798]"
S09900,L0217,E007,"[0.8416748989289333, 0.005753744478025997]"
S09903,L0242,E007,"[0.47442855146119967, 0.540899794783715]"
S09904,L0236,E007,"[0.18441911747134176, 0.4981772915528035]"
S09908,L0206,E007,"[0.8790841953793646, 0.3027783297677443]"
S09911,L0225,E007,"[0.9995874711120524, 0.9932119379499159]"
S09911,L0231,E007,"[0.8827921286637656, 0.9979960148436706]"
S09913,L0219,E007,"[0.1479339400215965, 0.6047027551336037]"
S09915,L0219,E007,"[0.2769014173170489, 0.8673969164426659]"
S09915,L0225,E007,"[0.9899190240901644, 0.9878661912921973]"
S09919,L0222,E007,"[0.9969704728452236, 0.9974506108914686]"
S09920,L0227,E007,"[0.008340012938875853, 0.49283425754810417]"
S09923,L0200,E007,"[0.5135440038843598, 0.02609803008571104]"
S09928,L0218,E007,"[0.9846808536251285, 0.9987153697011127]"
S09928,L0221,E007,"[0.7660421501973207, 0.5872093770362669]"
S09934,L0239,E007,"[0.8745959080121845, 0.431518104310859]"
S09935,L0227,E007,"[0.0046750585960078925, 0.0037915184900754262]"
S09945,L0206,E007,"[0.8909941909593398, 0.1488703320781553]"
S09951,L0224,E007,"[0.5625611980375659, 0.6347968890076522]"
S09964,L0212,E007,"[0.8028158454740815, 0.4278378853126107]"
S09964,L0221,E007,"[0.8438186515243687, 0.8342329153533171]"
S09969,L0216,E007,"[0.8180419899470294, 0.9083121090295553]"
S09971,L0200,E007,"[0.9752498016325691, 0.5033049266971381]"
S09972,L0217,E007,"[0.7324839742039763, 0.004034851668314232]"
S09977,L0243,E007,"[0.9546154518499531, 0.8476674935389898]"
S10000,L0231,E007,"[0.7857859189939537, 0.9161827225694218]"
S08508,L0216,E009,"[0.7631720709736857, 0.7035832919183693]"
S08512,L0242,E009,"[0.7179909867271055, 0.6603562259078143]"
S08529,L0206,E009,"[0.8208821145831039, 0.019306425907022563]"
S08532,L0225,E009,"[0.9882529643515646, 0.9891075586458855]"
S08532,L0231,E009,"[0.9219297366284976, 0.989105442663487]"
S08537,L0219,E009,"[0.11396091408019084, 0.8533119022813829]"
S08537,L0225,E009,"[0.9587188608686644, 0.8799444026081793]"
S08540,L0236,E009,"[0.04229243017360379, 0.13543764645147183]"
S08546,L0242,E009,"[0.5623102346897669, 0.2630020907538172]"
S08555,L0201,E009,"[0.866008795060368, 0.9840510402419619]"
S08558,L0222,E009,"[0.986934512621318, 0.998330273542285]"
S08561,L0200,E009,"[0.8332695989724677, 0.42590394062195397]"
S08566,L0217,E009,"[0.6435942621529324, 0.011010173582544034]"
S08574,L0236,E009,"[0.24977353779850744, 0.3250740314043507]"
S08575,L0227,E009,"[0.06042229872661168, 0.9959454867432975]"
S08576,L0219,E009,"[0.4230924435610694, 0.9971581153123745]"
S08578,L0215,E009,"[0.9997096242061599, 0.9997970136645029]"
S08579,L0218,E009,"[0.9995321448048414, 0.9974579913787156]"
S08579,L0221,E009,"[0.9756763803079387, 0.9238439643902339]"
S08582,L0239,E009,"[0.9754285866855726, 0.8825820905008752]"
S08590,L0201,E009,"[0.8622856042865308, 0.9651503390709416]"
S08594,L0212,E009,"[0.9525451655712618, 0.8899383669776577]"
S08594,L0221,E009,"[0.9963150073693293, 0.9348874041398496]"
S08600,L0222,E009,"[0.8451257711521439, 0.938246545917381]"
S08606,L0215,E009,"[0.960892003054556, 0.9995027465826345]"
S08613,L0229,E009,"[0.8436815071526607, 0.9116059718138428]"
S08613,L0242,E009,"[0.8400822053939686, 0.5685557743646535]"
S08614,L0217,E009,"[0.9594587973887282, 0.019293645881904468]"
S08625,L0229,E009,"[0.9991980926539068, 0.99927941253785]"
S08627,L0218,E009,"[0.9845637772633014, 0.9696777771450626]"
S08628,L0224,E009,"[0.6547929316620712, 0.7604427492951502]"
S08644,L0218,E009,"[0.8611762295502571, 0.9539771961026767]"
S08644,L0221,E009,"[0.9732433183713126, 0.865726504793735]"
S08645,L0227,E009,"[0.0058317305067890806, 0.6149850929088827]"
S08651,L0209,E009,"[0.713414581116709, 0.6503562188183498]"
S08652,L0218,E009,"[0.9976220122258482, 0.9982585821652664]"
S08653,L0206,E009,"[0.9575981952919659, 0.13733675792537245]"
S08653,L0212,E009,"[0.6834236590934727, 0.7836658893945466]"
S08660,L0206,E009,"[0.9762720801609391, 0.29632806603378686]"
S08660,L0212,E009,"[0.9558514405243828, 0.9574543166887035]"
S08682,L0216,E009,"[0.9733838272485258, 0.9663393899025008]"
S08685,L0227,E009,"[0.01396589485113095, 0.917893689104639]"
S08686,L0200,E009,"[0.7467855868471265, 0.9290920300371613]"
S08689,L0200,E009,"[0.953676759510682, 0.7462868987540658]"
S08690,L0222,E009,"[0.996042772220783, 0.9997550675937009]"
S08702,L0209,E009,"[0.7516754694832373, 0.6706205484826979]"
S08703,L0219,E009,"[0.4224007718103301, 0.6778445137666812]"
S08707,L0239,E009,"[0.9926757277181338, 0.9791918248550338]"
S08713,L0242,E009,"[0.9767902679998266, 0.9495891789820506]"
S08722,L0242,E009,"[0.8611792367196889, 0.5885355051816021]"
S08723,L0243,E009,"[0.9993310551779441, 0.9988732147668707]"
S08725,L0231,E009,"[0.9979994803916258, 0.9999540727791053]"
S08727,L0215,E009,"[0.9664936554752304, 0.9991508557796295]"
S08732,L0227,E009,"[0.016234434687980207, 0.9769283318302527]"
S08735,L0242,E009,"[0.6720097045143407, 0.685244540664905]"
S08742,L0219,E009,"[0.10306439119009725, 0.8751036559752153]"
